genres,title,release_date,runtime,vote_average,director
Drama,Extremely Loud & Incredibly Close,12/24/2011,129,6.9,Stephen Daldry
Drama,The Hours,12/27/2002,114,7,Stephen Daldry
Drama,Philomena,11/1/2013,98,7.4,Stephen Frears
Drama,The Queen,9/15/2006,103,6.8,Stephen Frears
Drama,Shame,10/2/2011,100,7,Steve McQueen
Drama,Erin Brockovich,3/17/2000,131,7.1,Steven Soderbergh
Drama,"Sex, Lies, and Videotape",8/18/1989,100,6.7,Steven Soderbergh
Drama,The Color Purple,12/18/1985,154,7.7,Steven Spielberg
Drama,A Civil Action,3/5/1998,115,6.1,Steven Zaillian
Drama,Out of Africa,12/20/1985,161,7,Sydney Pollack
Drama,Rocky Balboa,12/20/2006,102,6.5,Sylvester Stallone
Drama,The Savages,1/19/2007,114,6.8,Tamara Jenkins
Drama,The Help,8/9/2011,146,7.8,Tate Taylor
Drama,Coach Carter,1/14/2005,136,7.3,Thomas Carter
Drama,When the Game Stands Tall,8/22/2014,115,6.3,Thomas Carter
Drama,The Hunt,8/28/2012,115,7.9,Thomas Vinterberg
Drama,The Celebration,5/20/1998,105,7.7,Thomas Vinterberg
Drama,Big Eyes,12/24/2014,105,6.8,Tim Burton
Drama,Dead Man Walking,12/29/1995,122,7.3,Tim Robbins
Drama,Ben-Hur,8/17/2016,125,5.3,Timur Bekmambetov
Drama,The Damned United,3/27/2009,97,7.2,Tom Hooper
Drama,Dragonfly,2/22/2002,104,6.1,Tom Shadyac
Drama,American History X,10/30/1998,119,8.2,Tony Kaye
Drama,House of Sand and Fog,12/19/2003,126,7,Vadim Perelman
Drama,Central Station,1/16/1998,113,7.6,Walter Salles
Drama,The Perfect Storm,3/15/2000,130,6.2,Wolfgang Petersen
Drama,Dogtooth,6/1/2009,94,6.9,Yorgos Lanthimos
Family,Hairspray,7/13/2007,117,6.5,Adam Shankman
Family,Alpha and Omega,9/17/2010,88,5.3,Ben Gluck
Family,Thunder and the House of Magic,12/24/2013,85,6.3,Ben Stassen
Family,Jingle All the Way,11/15/1996,89,5.5,Brian Levant
Family,Earth to Echo,6/14/2014,89,5.7,Dave Green
Family,Diary of a Wimpy Kid: Rodrick Rules,3/25/2011,99,6.3,David Bowers
Family,Madagascar,5/25/2005,86,6.6,Eric Darnell
Family,Madagascar: Escape 2 Africa,10/30/2008,89,6.2,Eric Darnell
Family,Penguins of Madagascar,11/22/2014,92,6.5,Eric Darnell
Family,The Angry Birds Movie,5/11/2016,97,5.9,Fergal Reilly
Family,The Lizzie McGuire Movie,4/25/2003,94,5.7,Jim Fall
Family,The Jungle Book,4/7/2016,106,6.7,Jon Favreau
Family,Minions,6/17/2015,91,6.4,Kyle Balda
Family,Three Men and a Baby,11/27/1987,102,5.8,Leonard Nimoy
Family,Batman,7/30/1966,105,6.1,Leslie H. Martinson
Family,Willy Wonka & the Chocolate Factory,6/29/1971,100,7.4,Mel Stuart
Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/8/2014,81,6.1,Miguel Arteta
Family,Paddington,11/27/2014,95,7,Paul King
Family,Zoom,8/11/2006,83,4.9,Peter Hewitt
Family,Wreck-It Ralph,11/1/2012,108,7.1,Rich Moore
Family,Stuart Little 2,7/19/2002,78,5.4,Rob Minkoff
Family,Spy Kids: All the Time in the World,8/18/2011,89,4.4,Robert Rodriguez
Family,The Lion King,6/23/1994,89,8,Roger Allers
Family,How the Grinch Stole Christmas,11/17/2000,104,6.2,Ron Howard
Family,ParaNorman,8/3/2012,90,6.7,Sam Fell
Family,Where the Wild Things Are,10/16/2009,101,6.4,Spike Jonze
Family,Mr. Bean's Holiday,3/22/2007,90,6.1,Steve Bendelack
Family,Bee Movie,10/28/2007,91,5.7,Steve Hickner
Family,The Jungle Book 2,2/7/2003,72,5.6,Steve Trenbirth
Family,Alice in Wonderland,3/3/2010,108,6.4,Tim Burton
Family,Sinbad: Legend of the Seven Seas,7/2/2003,86,6.6,Tim Johnson
Family,Marmaduke,6/4/2010,87,5,Tom Dey
Family,Ella Enchanted,4/9/2004,96,5.9,Tommy O'Haver
Fantasy,Gods of Egypt,2/25/2016,127,5.3,Alex Proyas
Fantasy,The Last Witch Hunter,10/21/2015,106,5.7,Breck Eisner
Science Fiction,Aliens vs Predator: Requiem,12/25/2007,94,4.9,Colin Strause
Fantasy,Teenage Mutant Ninja Turtles: Out of the Shadows,6/1/2016,112,5.8,Dave Green
Fantasy,Mirrormask,1/25/2005,101,6.6,Dave McKean
Fantasy,How to Train Your Dragon 2,6/12/2014,102,7.6,Dean DeBlois
Fantasy,Hellboy,4/2/2004,122,6.5,Guillermo del Toro
Fantasy,G-Force,7/21/2009,88,5.1,Hoyt Yeatman
Fantasy,Alice Through the Looking Glass,5/25/2016,113,6.5,James Bobin
Fantasy,Underworld: Evolution,1/12/2006,106,6.4,Len Wiseman
Fantasy,Wolf,6/17/1994,125,6,Mike Nichols
Fantasy,Underworld: Rise of the Lycans,1/22/2009,92,6.2,Patrick Tatopoulos
Fantasy,Hancock,7/1/2008,92,6.2,Peter Berg
Fantasy,Krull,7/29/1983,117,5.8,Peter Yates
Fantasy,DragonHeart,5/31/1996,103,6.4,Rob Cohen
Fantasy,R.I.P.D.,7/18/2013,96,5.4,Robert Schwentke
Fantasy,Spider-Man,5/1/2002,121,6.8,Sam Raimi
Fantasy,Spider-Man 3,5/1/2007,139,5.9,Sam Raimi
Fantasy,Eragon,12/14/2006,104,4.9,Stefen Fangmeier
Fantasy,Immortals,11/10/2011,110,5.7,Tarsem Singh
Fantasy,Batman,6/23/1989,126,7,Tim Burton
History,Evita,12/14/1996,134,5.9,Alan Parker
History,Selma,12/25/2014,127,7.4,Ava DuVernay
History,Bobby,9/5/2006,120,6.4,Emilio Estevez
History,Butch Cassidy and the Sundance Kid,9/23/1969,110,7.4,George Roy Hill
History,Milk,11/26/2008,128,7.1,Gus Van Sant
History,Pearl Harbor,5/21/2001,183,6.6,Michael Bay
History,Public Enemies,7/1/2009,140,6.5,Michael Mann
History,Mr. Turner,10/31/2014,150,6.3,Mike Leigh
History,The Imitation Game,11/14/2014,113,8,Morten Tyldum
History,In the Valley of Elah,8/31/2007,124,6.6,Paul Haggis
History,The Iron Lady,12/30/2011,105,6.2,Phyllida Lloyd
History,Tora! Tora! Tora!,1/26/1970,144,6.9,Richard Fleischer
History,Mongol: The Rise of Genghis Khan,9/20/2007,120,6.5,Sergei Bodrov
History,Lincoln,11/9/2012,149,6.7,Steven Spielberg
Horror,Mama,1/17/2013,100,6,Andy Muschietti
Horror,Triangle,10/16/2009,99,6.9,Christopher Smith
Horror,Sinister 2,8/19/2015,97,5.4,Ciaran Foy
Horror,Hellraiser,9/11/1987,94,6.9,Clive Barker
Horror,Saw II,10/28/2005,92,6.3,Darren Lynn Bousman
Horror,Hostel,1/6/2005,94,5.7,Eli Roth
Horror,Hostel: Part II,6/8/2007,93,5.6,Eli Roth
Horror,Evil Dead,4/5/2013,91,6.4,Fede Alvarez
Horror,Maniac,12/26/2012,89,6,Franck Khalfoun
Horror,Night of the Living Dead,10/1/1968,96,7.5,George A. Romero
Horror,Land of the Dead,6/24/2005,93,6,George A. Romero
Horror,Maggie,5/8/2015,95,5.2,Henry Hobson
Horror,Paranormal Activity 3,10/19/2011,83,5.9,Henry Joost
Horror,Paranormal Activity 4,10/17/2012,95,5.2,Henry Joost
Horror,A Nightmare on Elm Street Part 2: Freddy's Revenge,10/31/1985,87,5.7,Jack Sholder
Horror,The Conjuring 2,5/13/2016,134,7,James Wan
Horror,Final Destination,3/16/2000,98,6.4,James Wong
Horror,Darkness,10/2/2002,102,5.6,Jaume Balaguer
Horror,House of Wax,4/30/2005,113,5.5,Jaume Collet-Serra
Horror,The Fog,2/8/1980,89,6.4,John Carpenter
Horror,Urban Legends: Final Cut,9/19/2000,97,4.4,John Ottman
Horror,Annabelle,10/2/2014,99,5.6,John R. Leonetti
Horror,The Texas Chainsaw Massacre: The Beginning,10/6/2006,91,5.9,Jonathan Liebesman
Horror,The Beyond,4/22/1981,87,6.6,Lucio Fulci
Horror,Devil's Due,1/8/2014,89,4.4,Matt Bettinelli-Olpin
Horror,Creepshow 2,5/1/1987,92,5.9,Michael Gornick
Horror,Oculus,9/8/2013,104,6.3,Mike Flanagan
Horror,The Veil,4/21/2016,93,4.5,Phil Joanou
Horror,House of 1000 Corpses,4/11/2003,89,6,Rob Zombie
Horror,Halloween II,8/28/2009,105,5.1,Rob Zombie
Horror,Freddy vs. Jason,8/15/2003,97,5.8,Ronny Yu
Horror,Stigmata,9/10/1999,103,6,Rupert Wainwright
Horror,The Evil Dead,10/15/1981,85,7.3,Sam Raimi
Horror,Legion,1/21/2010,100,5.2,Scott Stewart
Horror,The Loved Ones,9/13/2009,84,6.6,Sean Byrne
Horror,The Reaping,4/5/2007,99,5.4,Stephen Hopkins
Horror,Ouija,10/24/2014,89,4.9,Stiles White
Horror,Poltergeist,6/4/1982,114,7,Tobe Hooper
Horror,The Texas Chain Saw Massacre,10/1/1974,83,7.2,Tobe Hooper
Horror,The Texas Chainsaw Massacre 2,8/22/1986,101,5.9,Tobe Hooper
Horror,Cabin Fever,2/12/2016,99,4.4,Travis Zariwny
Horror,A Nightmare on Elm Street,11/14/1984,91,7.2,Wes Craven
Mystery,Dark City,2/27/1998,100,7.2,Alex Proyas
Mystery,Torn Curtain,7/13/1966,128,6.4,Alfred Hitchcock
Mystery,The Crazies,2/26/2010,101,6.2,Breck Eisner
Mystery,Memento,10/11/2000,113,8.1,Christopher Nolan
Mystery,Eagle Eye,9/25/2008,118,6.3,D.J. Caruso
Mystery,Pi,7/10/1998,84,7.1,Darren Aronofsky
Mystery,Gone Girl,10/1/2014,145,7.9,David Fincher
Mystery,Disturbing Behavior,7/24/1998,84,5.5,David Nutter
Mystery,Joe Dirt,4/10/2001,91,5.5,Dennie Gordon
Mystery,Hostage,3/9/2005,113,6.2,Florent-Emilio Siri
Mystery,Domestic Disturbance,10/30/2001,89,5.4,Harold Becker
Mystery,Nerve,7/27/2016,96,7.1,Henry Joost
Mystery,Identity,4/25/2003,90,7.1,James Mangold
Mystery,Book of Shadows: Blair Witch 2,10/27/2000,90,4.3,Joe Berlinger
Mystery,The Watcher,9/8/2000,96,4.9,Joe Charbanic
Mystery,Joy Ride,10/5/2001,97,6.3,John Dahl
Mystery,Sky Captain and the World of Tomorrow,9/17/2004,107,5.7,Kerry Conran
Mystery,The Sixth Sense,8/6/1999,107,7.7,M. Night Shyamalan
Mystery,Absentia,3/3/2011,92,5.8,Mike Flanagan
Mystery,The Fourth Kind,11/6/2009,98,5.8,Olatunde Osunsanmi
Mystery,My Bloody Valentine,1/16/2009,101,5.3,Patrick Lussier
Mystery,Scooby-Doo,6/14/2002,88,5.4,Raja Gosnell
Mystery,Scooby-Doo 2: Monsters Unleashed,3/24/2004,93,5.4,Raja Gosnell
Mystery,Mindhunters,5/7/2004,106,6.3,Renny Harlin
Mystery,The X Files,6/19/1998,121,6.6,Rob Bowman
Mystery,The Witch,2/19/2016,92,6.3,Robert Eggers
Mystery,Before I Go to Sleep,9/3/2014,92,6.2,Rowan Joffe
Mystery,Eyes Wide Shut,7/14/1999,159,7.1,Stanley Kubrick
Mystery,The House of the Devil,4/25/2009,95,6,Ti West
Romance,Leap Year,1/8/2010,100,6.4,Anand Tucker
Romance,Fido,9/7/2006,91,6.6,Andrew Currie
Romance,Fool's Gold,2/7/2008,112,5.4,Andy Tennant
Romance,The DUFF,2/20/2015,100,6.8,Ari Sandel
Romance,The Postman Always Rings Twice,3/20/1981,122,6.4,Bob Rafelson
Romance,There's Something About Mary,7/15/1998,119,6.5,Bobby Farrelly
Romance,The Mask,7/29/1994,101,6.6,Chuck Russell
Romance,Just Go with It,2/10/2011,117,6.3,Dennis Dugan
Romance,I Don't Know How She Does It,9/16/2011,89,5,Douglas McGrath
Romance,The House Bunny,8/22/2008,97,5.6,Fred Wolf
Romance,Pretty Woman,3/23/1990,119,7,Garry Marshall
Romance,Focus,2/25/2015,105,6.7,Glenn Ficarra
Romance,My Best Friend's Girl,9/19/2008,101,5.4,Howard Deutch
Romance,Kicking & Screaming,5/13/2005,95,5.6,Jesse Dylan
Romance,Soul Plane,5/28/2004,86,4.7,Jessy Terrero
Romance,In the Land of Women,4/16/2007,97,5.8,Jon Kasdan
Romance,Ironclad,3/3/2011,121,6.2,Jonathan English
Romance,The Book of Life,10/1/2014,95,7.3,Jorge R. Gutierrez
Romance,Don Jon,7/26/2013,90,5.9,Joseph Gordon-Levitt
Romance,The Fault in Our Stars,5/16/2014,125,7.6,Josh Boone
Romance,Mallrats,10/20/1995,94,6.8,Kevin Smith
Romance,What to Expect When You're Expecting,5/17/2012,110,5.8,Kirk Jones
Romance,My Big Fat Greek Wedding 2,3/23/2016,94,5.5,Kirk Jones
Romance,Safe Haven,2/7/2013,115,6.9,Lasse Hallstr
Romance,Two Weeks Notice,12/19/2002,101,5.9,Marc Lawrence
Romance,Fifty Shades of Black,1/28/2016,92,4.3,Michael Tiddes
Romance,The Crying Game,9/2/1992,112,6.9,Neil Jordan
Romance,The Notebook,6/25/2004,123,7.7,Nick Cassavetes
Romance,The Break-Up,6/1/2006,106,5.6,Peyton Reed
Romance,Grease,7/7/1978,110,7.2,Randal Kleiser
Romance,The Blue Lagoon,7/5/1980,104,5.8,Randal Kleiser
Romance,Monster-in-Law,5/13/2005,101,5.6,Robert Luketic
Romance,The Sweetest Thing,4/12/2002,84,5.3,Roger Kumble
Romance,Notting Hill,5/13/1999,124,7,Roger Michell
Romance,Quigley Down Under,10/17/1990,119,6.5,Simon Wincer
Romance,Out of Sight,6/26/1998,123,6.5,Steven Soderbergh
Romance,Duplicity,3/19/2009,125,5.7,Tony Gilroy
Romance,Buffalo '66,1/20/1998,110,7.1,Vincent Gallo
Romance,Friends with Benefits,7/21/2011,109,6.5,Will Gluck
Romance,To Rome with Love,4/20/2012,111,5.6,Woody Allen
Science Fiction,Terminator Genisys,6/23/2015,126,5.8,Alan Taylor
Science Fiction,Sphere,2/13/1998,134,5.8,Barry Levinson
Science Fiction,Antiviral,9/19/2012,110,5.7,Brandon Cronenberg
Science Fiction,Mission to Mars,3/10/2000,114,5.7,Brian De Palma
Science Fiction,The Flintstones in Viva Rock Vegas,4/28/2000,90,4.4,Brian Levant
Science Fiction,X-Men: Apocalypse,5/18/2016,144,6.4,Bryan Singer
Science Fiction,Firefox,6/13/1982,136,5.5,Clint Eastwood
Science Fiction,Skyline,11/11/2010,100,4.7,Colin Strause
Science Fiction,Star Trek: Generations,11/17/1994,118,6.4,David Carson
Science Fiction,Alien³,5/22/1992,114,6.2,David Fincher
Science Fiction,Blade: Trinity,12/8/2004,123,5.7,David S. Goyer
Science Fiction,Riddick,9/2/2013,119,6.2,David Twohy
Science Fiction,Moon,6/12/2009,97,7.6,Duncan Jones
Science Fiction,The Hunger Games: Mockingjay - Part 1,11/18/2014,123,6.6,Francis Lawrence
Science Fiction,The Mist,11/21/2007,126,6.7,Frank Darabont
Science Fiction,The Hunger Games,3/12/2012,142,6.9,Gary Ross
Science Fiction,Ender's Game,10/23/2013,114,6.6,Gavin Hood
Science Fiction,Star Wars: Episode III - Revenge of the Sith,5/17/2005,140,7.1,George Lucas
Science Fiction,Star Trek,5/6/2009,127,7.4,J.J. Abrams
Science Fiction,Robot & Frank,8/16/2012,85,6.8,Jake Schreier
Science Fiction,The Purge,5/31/2013,86,6,James DeMonaco
Science Fiction,Austin Powers: International Man of Mystery,5/2/1997,94,6.5,Jay Roach
Science Fiction,Somewhere in Time,10/2/1980,103,7.2,Jeannot Szwarc
Science Fiction,Alien: Resurrection,11/12/1997,109,5.9,Jean-Pierre Jeunet
Science Fiction,Escape from New York,5/22/1981,99,6.9,John Carpenter
Science Fiction,Predator,6/11/1987,107,7.3,John McTiernan
Science Fiction,Grabbers,8/10/2012,94,6,Jon Wright
Science Fiction,Star Trek: First Contact,11/21/1996,111,7,Jonathan Frakes
Science Fiction,Star Trek: Insurrection,12/10/1998,103,6.3,Jonathan Frakes
Science Fiction,Teenage Mutant Ninja Turtles,8/7/2014,101,5.8,Jonathan Liebesman
Science Fiction,Planet 51,11/19/2009,91,5.6,Jorge Blanco
Science Fiction,Chronicle,2/1/2012,84,6.6,Josh Trank
Science Fiction,The Avengers,4/25/2012,143,7.4,Joss Whedon
Science Fiction,Serenity,8/25/2005,119,7.4,Joss Whedon
Science Fiction,Akira,7/16/1988,124,7.8,Katsuhiro Octomo
Science Fiction,Ultraviolet,3/3/2006,87,4.8,Kurt Wimmer
Science Fiction,Star Trek III: The Search for Spock,5/31/1984,105,6.4,Leonard Nimoy
Science Fiction,Star Trek IV: The Voyage Home,11/25/1986,119,6.9,Leonard Nimoy
Science Fiction,Jupiter Ascending,2/4/2015,124,5.2,Lilly Wachowski
Science Fiction,The Toxic Avenger,5/1/1984,82,6.3,Lloyd Kaufman
Science Fiction,The Incredible Hulk,6/12/2008,114,6.1,Louis Leterrier
Science Fiction,After Earth,5/30/2013,100,5,M. Night Shyamalan
Science Fiction,Dawn of the Planet of the Apes,6/26/2014,130,7.3,Matt Reeves
Science Fiction,Transformers: Age of Extinction,6/25/2014,165,5.8,Michael Bay
Science Fiction,Transformers: Revenge of the Fallen,6/19/2009,150,6,Michael Bay
Science Fiction,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3/22/1991,88,5.8,Michael Pressman
Science Fiction,Eternal Sunshine of the Spotless Mind,3/19/2004,108,7.9,Michel Gondry
Science Fiction,Volcano,4/25/1997,104,5.2,Mick Jackson
Science Fiction,I Origins,7/18/2014,106,7.5,Mike Cahill
Science Fiction,Flash Gordon,9/1/1980,111,6.1,Mike Hodges
Science Fiction,District 9,8/5/2009,112,7.3,Neill Blomkamp
Science Fiction,Elysium,8/7/2013,109,6.4,Neill Blomkamp
Science Fiction,Star Trek VI: The Undiscovered Country,12/5/1991,113,6.7,Nicholas Meyer
Science Fiction,Ant-Man,7/14/2015,117,7,Peyton Reed
Science Fiction,The Man from Earth,6/10/2007,87,7.7,Richard Schenkman
Science Fiction,Prometheus,5/30/2012,124,6.3,Ridley Scott
Science Fiction,Blade Runner,6/25/1982,117,7.9,Ridley Scott
Science Fiction,Star Trek: The Motion Picture,12/6/1979,132,6.2,Robert Wise
Science Fiction,Species,7/7/1995,108,5.5,Roger Donaldson
Science Fiction,The 6th Day,11/17/2000,123,5.7,Roger Spottiswoode
Science Fiction,Barbarella,10/10/1968,98,5.7,Roger Vadim
Science Fiction,Primer,10/8/2004,77,6.9,Shane Carruth
Science Fiction,The Time Machine,3/4/2002,96,5.8,Simon Wells
Science Fiction,2001: A Space Odyssey,4/10/1968,149,7.9,Stanley Kubrick
Science Fiction,Predator 2,11/20/1990,108,5.9,Stephen Hopkins
Science Fiction,Hot Tub Time Machine,3/26/2010,101,6,Steve Pink
Science Fiction,E.T. the Extra-Terrestrial,4/3/1982,115,7.3,Steven Spielberg
Science Fiction,Close Encounters of the Third Kind,11/16/1977,135,7.2,Steven Spielberg
Science Fiction,Star Trek: Nemesis,12/13/2002,117,6.1,Stuart Baird
Science Fiction,Star Trek V: The Final Frontier,6/9/1989,107,5.6,William Shatner
Science Fiction,The Divide,3/13/2011,112,5.7,Xavier Gens
Science Fiction,Sound of My Voice,1/22/2011,85,6.3,Zal Batmanglij
Thriller,The Equalizer,9/24/2014,132,7.1,Antoine Fuqua
Thriller,A Most Wanted Man,7/25/2014,121,6.5,Anton Corbijn
Thriller,Red Planet,11/10/2000,106,5.4,Antony Hoffman
Thriller,Contraband,1/12/2012,109,6.1,Baltasar Kormkur
Thriller,The Prince,8/22/2014,93,4.6,Brian A Miller
Thriller,The Transporter Refueled,9/3/2015,96,5.2,Camille Delamarre
Thriller,Swimming Pool,5/18/2003,102,6.4,Francois Ozon
Thriller,Don't Say a Word,9/28/2001,113,6,Gary Fleder
Thriller,Snatch,9/1/2000,103,7.7,Guy Ritchie
Thriller,Survivor,5/21/2015,96,5.4,James McTeigue
Thriller,Sleep Tight,10/14/2011,107,7,Jaume Balaguer
Thriller,Assault on Precinct 13,1/19/2005,109,6,Jean-Francois Richet
Thriller,Money Monster,5/12/2016,98,6.5,Jodie Foster
Thriller,The Hole,9/9/2009,92,5.6,Joe Dante
Thriller,Reindeer Games,2/25/2000,124,5.4,John Frankenheimer
Thriller,Abduction,9/22/2011,106,5.6,John Singleton
Thriller,The Tuxedo,9/27/2002,98,5.3,Kevin Donovan
Thriller,Now You See Me,5/29/2013,115,7.3,Louis Leterrier
Thriller,Ghost Rider,2/16/2007,114,5.2,Mark Steven Johnson
Thriller,Pain & Gain,4/18/2013,130,6.1,Michael Bay
Thriller,The Bodyguard,11/25/1992,129,6.1,Mick Jackson
Thriller,Hard Rain,1/16/1998,97,5.5,Mikael Salomon
Thriller,Headhunters,8/4/2011,100,7.1,Morten Tyldum
Thriller,Dead Man Down,3/8/2013,118,5.9,Niels Arden Oplev
Thriller,Taken 3,12/16/2014,109,6.1,Olivier Megaton
Thriller,Battleship,4/11/2012,131,5.5,Peter Berg
Thriller,The Kingdom,8/22/2007,110,6.5,Peter Berg
Thriller,The Sum of All Fears,5/31/2002,124,5.9,Phil Alden Robinson
Thriller,The Saint,4/3/1997,116,5.9,Phillip Noyce
Thriller,Pulp Fiction,10/8/1994,154,8.3,Quentin Tarantino
Thriller,Firewall,2/10/2006,105,5.6,Richard Loncraine
Thriller,The Boy Next Door,1/23/2015,91,4.1,Rob Cohen
Thriller,Desperado,8/25/1995,104,6.8,Robert Rodriguez
Thriller,Grindhouse,4/6/2007,191,6.8,Robert Rodriguez
Thriller,Idle Hands,4/30/1999,92,6.1,Rodman Flender
Thriller,The 51st State,12/7/2001,93,5.9,Ronny Yu
Thriller,Rise of the Planet of the Apes,8/3/2011,105,7,Rupert Wyatt
Thriller,Road to Perdition,7/12/2002,117,7.3,Sam Mendes
Thriller,The Frozen Ground,7/18/2013,105,6.1,Scott Walker
Thriller,Double Impact,8/10/1991,110,5.3,Sheldon Lettich
Thriller,Ocean's Twelve,12/9/2004,125,6.4,Steven Soderbergh
Thriller,Ocean's Eleven,12/7/2001,116,7.2,Steven Soderbergh
Thriller,Our Kind of Traitor,5/5/2016,108,6,Susanna White
Thriller,The Expendables,8/3/2010,103,6,Sylvester Stallone
Thriller,Left Behind,10/3/2014,110,3.7,Vic Armstrong
War,American Sniper,12/11/2014,133,7.4,Clint Eastwood
War,Flags of Our Fathers,10/18/2006,132,6.7,Clint Eastwood
War,Fury,10/15/2014,135,7.4,David Ayer
War,Glory,12/15/1989,122,7.4,Edward Zwick
War,From Here to Eternity,8/4/1953,118,7.2,Fred Zinnemann
War,Free State of Jones,6/24/2016,139,6.6,Gary Ross
War,The Monuments Men,1/24/2014,118,5.8,George Clooney
War,Enemy at the Gates,3/13/2001,131,7.2,Jean-Jacques Annaud
War,The Boy in the Striped Pyjamas,5/7/2008,94,7.7,Mark Herman
War,Alexander,11/21/2004,175,5.6,Oliver Stone
War,Green Zone,3/11/2010,115,6.4,Paul Greengrass
War,The Water Diviner,12/25/2014,112,6.8,Russell Crowe
War,The Four Feathers,9/8/2002,132,6.5,Shekhar Kapur
Western,The Revenant,12/25/2015,156,7.3,Alejandro Gonzalez
Western,Unforgiven,8/7/1992,131,7.7,Clint Eastwood
Western,High Plains Drifter,4/19/1973,105,7.4,Clint Eastwood
Western,High Noon,3/27/1952,85,7.6,Fred Zinnemann
Western,3:10 to Yuma,9/6/2007,122,6.9,James Mangold
Western,Hidalgo,3/5/2004,136,6.5,Joe Johnston
Western,The Man Who Shot Liberty Valance,4/22/1962,123,7.4,John Ford
Western,The Alamo,4/7/2004,137,5.8,John Lee Hancock
Western,Forsaken,9/16/2015,90,5.8,Jon Cassar
Western,Spirit: Stallion of the Cimarron,5/24/2002,83,7.4,Kelly Asbury
Western,Open Range,8/29/2003,139,7,Kevin Costner
Western,Blazing Saddles,2/7/1974,93,7.2,Mel Brooks
Western,"The Good, the Bad and the Ugly",12/23/1966,161,8.1,Sergio Leone
Western,Once Upon a Time in the West,12/21/1968,175,8.1,Sergio Leone
Western,A Fistful of Dollars,9/12/1964,99,7.6,Sergio Leone
Western,Hang 'em High,7/31/1968,114,6.7,Ted Post
Western,The Homesman,5/18/2014,122,6.4,Tommy Lee Jones
